year,slug,title,source,markdown,images
1977,shanghai_liberal,1977年上海卷（文）,content/1977/shanghai_liberal.tex,01_上海试卷_Markdown/1977/shanghai_liberal/试卷.md,2
1977,shanghai_science,1977年上海卷（理）,content/1977/shanghai_science.tex,01_上海试卷_Markdown/1977/shanghai_science/试卷.md,3
1985,shanghai_liberal,1985年上海卷（文）,content/1985/shanghai_liberal.tex,01_上海试卷_Markdown/1985/shanghai_liberal/试卷.md,0
1985,shanghai_science,1985年上海卷（理）,content/1985/shanghai_science.tex,01_上海试卷_Markdown/1985/shanghai_science/试卷.md,0
1986,shanghai_liberal,1986年上海卷（文）,content/1986/shanghai_liberal.tex,01_上海试卷_Markdown/1986/shanghai_liberal/试卷.md,2
1986,shanghai_science,1986年上海卷（理）,content/1986/shanghai_science.tex,01_上海试卷_Markdown/1986/shanghai_science/试卷.md,3
1987,shanghai,1987年上海卷,content/1987/shanghai.tex,01_上海试卷_Markdown/1987/shanghai/试卷.md,5
1988,shanghai,1988年上海卷,content/1988/shanghai.tex,01_上海试卷_Markdown/1988/shanghai/试卷.md,6
1989,shanghai,1989年上海卷,content/1989/shanghai.tex,01_上海试卷_Markdown/1989/shanghai/试卷.md,6
1990,shanghai,1990年上海卷,content/1990/shanghai.tex,01_上海试卷_Markdown/1990/shanghai/试卷.md,1
1991,shanghai,1991年上海卷,content/1991/shanghai.tex,01_上海试卷_Markdown/1991/shanghai/试卷.md,8
1992,shanghai,1992年上海卷,content/1992/shanghai.tex,01_上海试卷_Markdown/1992/shanghai/试卷.md,9
1993,shanghai,1993年上海卷,content/1993/shanghai.tex,01_上海试卷_Markdown/1993/shanghai/试卷.md,7
1994,shanghai,1994年上海卷,content/1994/shanghai.tex,01_上海试卷_Markdown/1994/shanghai/试卷.md,6
1994,shanghai_liberal,1994年上海卷（文）,content/1994/shanghai_liberal.tex,01_上海试卷_Markdown/1994/shanghai_liberal/试卷.md,8
1994,shanghai_science,1994年上海卷（理）,content/1994/shanghai_science.tex,01_上海试卷_Markdown/1994/shanghai_science/试卷.md,8
1995,shanghai_liberal,1995年上海卷（文）,content/1995/shanghai_liberal.tex,01_上海试卷_Markdown/1995/shanghai_liberal/试卷.md,6
1995,shanghai_science,1995年上海卷（理）,content/1995/shanghai_science.tex,01_上海试卷_Markdown/1995/shanghai_science/试卷.md,6
1996,shanghai_liberal,1996年上海卷（文）,content/1996/shanghai_liberal.tex,01_上海试卷_Markdown/1996/shanghai_liberal/试卷.md,7
1996,shanghai_science,1996年上海卷（理）,content/1996/shanghai_science.tex,01_上海试卷_Markdown/1996/shanghai_science/试卷.md,12
1997,shanghai_liberal,1997年上海卷（文）,content/1997/shanghai_liberal.tex,01_上海试卷_Markdown/1997/shanghai_liberal/试卷.md,4
1997,shanghai_science,1997年上海卷（理）,content/1997/shanghai_science.tex,01_上海试卷_Markdown/1997/shanghai_science/试卷.md,8
1998,shanghai_liberal,1998年上海卷（文）,content/1998/shanghai_liberal.tex,01_上海试卷_Markdown/1998/shanghai_liberal/试卷.md,1
1998,shanghai_science,1998年上海卷（理）,content/1998/shanghai_science.tex,01_上海试卷_Markdown/1998/shanghai_science/试卷.md,2
1999,shanghai_liberal,1999年上海卷（文）,content/1999/shanghai_liberal.tex,01_上海试卷_Markdown/1999/shanghai_liberal/试卷.md,3
1999,shanghai_science,1999年上海卷（理）,content/1999/shanghai_science.tex,01_上海试卷_Markdown/1999/shanghai_science/试卷.md,5
2000,shanghai_liberal,2000年上海卷（文）,content/2000/shanghai_liberal.tex,01_上海试卷_Markdown/2000/shanghai_liberal/试卷.md,3
2000,shanghai_science,2000年上海卷（理）,content/2000/shanghai_science.tex,01_上海试卷_Markdown/2000/shanghai_science/试卷.md,3
2000,shanghai_spring,2000年上海卷（春）,content/2000/shanghai_spring.tex,01_上海试卷_Markdown/2000/shanghai_spring/试卷.md,4
2001,shanghai_liberal,2001年上海卷（秋文）,content/2001/shanghai_liberal.tex,01_上海试卷_Markdown/2001/shanghai_liberal/试卷.md,2
2001,shanghai_science,2001年上海卷（秋理）,content/2001/shanghai_science.tex,01_上海试卷_Markdown/2001/shanghai_science/试卷.md,2
2001,shanghai_spring,2001年上海卷（春）,content/2001/shanghai_spring.tex,01_上海试卷_Markdown/2001/shanghai_spring/试卷.md,2
2002,shanghai_liberal,2002年上海卷（秋文）,content/2002/shanghai_liberal.tex,01_上海试卷_Markdown/2002/shanghai_liberal/试卷.md,7
2002,shanghai_science,2002年上海卷（秋理）,content/2002/shanghai_science.tex,01_上海试卷_Markdown/2002/shanghai_science/试卷.md,7
2002,shanghai_spring,2002年上海卷（春）,content/2002/shanghai_spring.tex,01_上海试卷_Markdown/2002/shanghai_spring/试卷.md,4
2003,shanghai_liberal,2003年上海卷（秋文）,content/2003/shanghai_liberal.tex,01_上海试卷_Markdown/2003/shanghai_liberal/试卷.md,3
2003,shanghai_science,2003年上海卷（秋理）,content/2003/shanghai_science.tex,01_上海试卷_Markdown/2003/shanghai_science/试卷.md,3
2003,shanghai_spring,2003年上海卷（春）,content/2003/shanghai_spring.tex,01_上海试卷_Markdown/2003/shanghai_spring/试卷.md,2
2004,shanghai_liberal,2004年上海卷（秋文）,content/2004/shanghai_liberal.tex,01_上海试卷_Markdown/2004/shanghai_liberal/试卷.md,4
2004,shanghai_science,2004年上海卷（秋理）,content/2004/shanghai_science.tex,01_上海试卷_Markdown/2004/shanghai_science/试卷.md,3
2004,shanghai_spring,2004年上海卷（春）,content/2004/shanghai_spring.tex,01_上海试卷_Markdown/2004/shanghai_spring/试卷.md,3
2005,shanghai_liberal,2005年上海卷（秋文）,content/2005/shanghai_liberal.tex,01_上海试卷_Markdown/2005/shanghai_liberal/试卷.md,3
2005,shanghai_science,2005年上海卷（秋理）,content/2005/shanghai_science.tex,01_上海试卷_Markdown/2005/shanghai_science/试卷.md,3
2005,shanghai_spring,2005年上海卷（春）,content/2005/shanghai_spring.tex,01_上海试卷_Markdown/2005/shanghai_spring/试卷.md,2
2006,shanghai_liberal,2006年上海卷（秋文）,content/2006/shanghai_liberal.tex,01_上海试卷_Markdown/2006/shanghai_liberal/试卷.md,3
2006,shanghai_science,2006年上海卷（秋理）,content/2006/shanghai_science.tex,01_上海试卷_Markdown/2006/shanghai_science/试卷.md,4
2006,shanghai_spring,2006年上海卷（春）,content/2006/shanghai_spring.tex,01_上海试卷_Markdown/2006/shanghai_spring/试卷.md,6
2007,shanghai_liberal,2007年上海卷（秋文）,content/2007/shanghai_liberal.tex,01_上海试卷_Markdown/2007/shanghai_liberal/试卷.md,4
2007,shanghai_science,2007年上海卷（秋理）,content/2007/shanghai_science.tex,01_上海试卷_Markdown/2007/shanghai_science/试卷.md,3
2007,shanghai_spring,2007年上海卷（春）,content/2007/shanghai_spring.tex,01_上海试卷_Markdown/2007/shanghai_spring/试卷.md,7
2008,shanghai_liberal,2008年上海卷（秋文）,content/2008/shanghai_liberal.tex,01_上海试卷_Markdown/2008/shanghai_liberal/试卷.md,3
2008,shanghai_science,2008年上海卷（秋理）,content/2008/shanghai_science.tex,01_上海试卷_Markdown/2008/shanghai_science/试卷.md,3
2008,shanghai_spring,2008年上海卷（春）,content/2008/shanghai_spring.tex,01_上海试卷_Markdown/2008/shanghai_spring/试卷.md,4
2009,shanghai_liberal,2009年上海卷（秋文）,content/2009/shanghai_liberal.tex,01_上海试卷_Markdown/2009/shanghai_liberal/试卷.md,7
2009,shanghai_science,2009年上海卷（秋理）,content/2009/shanghai_science.tex,01_上海试卷_Markdown/2009/shanghai_science/试卷.md,4
2009,shanghai_spring,2009年上海卷（春）,content/2009/shanghai_spring.tex,01_上海试卷_Markdown/2009/shanghai_spring/试卷.md,8
2010,shanghai_liberal,2010年上海卷（秋文）,content/2010/shanghai_liberal.tex,01_上海试卷_Markdown/2010/shanghai_liberal/试卷.md,2
2010,shanghai_science,2010年上海卷（秋理）,content/2010/shanghai_science.tex,01_上海试卷_Markdown/2010/shanghai_science/试卷.md,4
2010,shanghai_spring,2010年上海卷（春）,content/2010/shanghai_spring.tex,01_上海试卷_Markdown/2010/shanghai_spring/试卷.md,3
2011,shanghai_liberal,2011年上海卷（秋文）,content/2011/shanghai_liberal.tex,01_上海试卷_Markdown/2011/shanghai_liberal/试卷.md,2
2011,shanghai_science,2011年上海卷（秋理）,content/2011/shanghai_science.tex,01_上海试卷_Markdown/2011/shanghai_science/试卷.md,1
2011,shanghai_spring,2011年上海卷（春）,content/2011/shanghai_spring.tex,01_上海试卷_Markdown/2011/shanghai_spring/试卷.md,3
2012,shanghai_liberal,2012年上海卷（秋文）,content/2012/shanghai_liberal.tex,01_上海试卷_Markdown/2012/shanghai_liberal/试卷.md,2
2012,shanghai_science,2012年上海卷（秋理）,content/2012/shanghai_science.tex,01_上海试卷_Markdown/2012/shanghai_science/试卷.md,4
2012,shanghai_spring,2012年上海卷（春）,content/2012/shanghai_spring.tex,01_上海试卷_Markdown/2012/shanghai_spring/试卷.md,1
2013,shanghai_liberal,2013年上海卷（秋文）,content/2013/shanghai_liberal.tex,01_上海试卷_Markdown/2013/shanghai_liberal/试卷.md,3
2013,shanghai_science,2013年上海卷（秋理）,content/2013/shanghai_science.tex,01_上海试卷_Markdown/2013/shanghai_science/试卷.md,3
2013,shanghai_spring,2013年上海卷（春）,content/2013/shanghai_spring.tex,01_上海试卷_Markdown/2013/shanghai_spring/试卷.md,8
2014,shanghai_liberal,2014年上海卷（秋文）,content/2014/shanghai_liberal.tex,01_上海试卷_Markdown/2014/shanghai_liberal/试卷.md,4
2014,shanghai_science,2014年上海卷（秋理）,content/2014/shanghai_science.tex,01_上海试卷_Markdown/2014/shanghai_science/试卷.md,3
2014,shanghai_spring,2014年上海卷（春）,content/2014/shanghai_spring.tex,01_上海试卷_Markdown/2014/shanghai_spring/试卷.md,6
2015,shanghai_liberal,2015年上海卷（秋文）,content/2015/shanghai_liberal.tex,01_上海试卷_Markdown/2015/shanghai_liberal/试卷.md,2
2015,shanghai_science,2015年上海卷（秋理）,content/2015/shanghai_science.tex,01_上海试卷_Markdown/2015/shanghai_science/试卷.md,2
2015,shanghai_spring,2015年上海卷（春）,content/2015/shanghai_spring.tex,01_上海试卷_Markdown/2015/shanghai_spring/试卷.md,1
2016,shanghai_liberal,2016年上海卷（秋文）,content/2016/shanghai_liberal.tex,01_上海试卷_Markdown/2016/shanghai_liberal/试卷.md,4
2016,shanghai_science,2016年上海卷（秋理）,content/2016/shanghai_science.tex,01_上海试卷_Markdown/2016/shanghai_science/试卷.md,5
2016,shanghai_spring,2016年上海卷（春）,content/2016/shanghai_spring.tex,01_上海试卷_Markdown/2016/shanghai_spring/试卷.md,7
2017,shanghai,2017年上海卷（秋）,content/2017/shanghai.tex,01_上海试卷_Markdown/2017/shanghai/试卷.md,3
2017,shanghai_spring,2017年上海卷（春）,content/2017/shanghai_spring.tex,01_上海试卷_Markdown/2017/shanghai_spring/试卷.md,3
2018,shanghai,2018年上海卷（秋）,content/2018/shanghai.tex,01_上海试卷_Markdown/2018/shanghai/试卷.md,2
2018,shanghai_spring,2018年上海卷（春）,content/2018/shanghai_spring.tex,01_上海试卷_Markdown/2018/shanghai_spring/试卷.md,4
2019,shanghai,2019年上海卷（秋）,content/2019/shanghai.tex,01_上海试卷_Markdown/2019/shanghai/试卷.md,2
2019,shanghai_spring,2019年上海卷（春）,content/2019/shanghai_spring.tex,01_上海试卷_Markdown/2019/shanghai_spring/试卷.md,2
2020,shanghai,2020年上海卷（秋）,content/2020/shanghai.tex,01_上海试卷_Markdown/2020/shanghai/试卷.md,6
2020,shanghai_spring,2020年上海卷（春）,content/2020/shanghai_spring.tex,01_上海试卷_Markdown/2020/shanghai_spring/试卷.md,5
2021,shanghai,2021年上海卷（秋）,content/2021/shanghai.tex,01_上海试卷_Markdown/2021/shanghai/试卷.md,10
2021,shanghai_spring,2021年上海卷（春）,content/2021/shanghai_spring.tex,01_上海试卷_Markdown/2021/shanghai_spring/试卷.md,0
2022,shanghai,2022年上海卷（秋）,content/2022/shanghai.tex,01_上海试卷_Markdown/2022/shanghai/试卷.md,3
2022,shanghai_spring,2022年上海卷（春）,content/2022/shanghai_spring.tex,01_上海试卷_Markdown/2022/shanghai_spring/试卷.md,6
2023,shanghai,2023年上海卷（秋）,content/2023/shanghai.tex,01_上海试卷_Markdown/2023/shanghai/试卷.md,2
2023,shanghai_spring,2023年上海卷（春）,content/2023/shanghai_spring.tex,01_上海试卷_Markdown/2023/shanghai_spring/试卷.md,3
2024,shanghai,2024年上海卷（秋）,content/2024/shanghai.tex,01_上海试卷_Markdown/2024/shanghai/试卷.md,4
2024,shanghai_spring,2024年上海卷（春）,content/2024/shanghai_spring.tex,01_上海试卷_Markdown/2024/shanghai_spring/试卷.md,2
2025,shanghai,2025年上海卷（秋）,content/2025/shanghai.tex,01_上海试卷_Markdown/2025/shanghai/试卷.md,3
2025,shanghai_spring,2025年上海卷（春）,content/2025/shanghai_spring.tex,01_上海试卷_Markdown/2025/shanghai_spring/试卷.md,4
2026,shanghai,2026年上海卷（秋）,content/2026/shanghai.tex,01_上海试卷_Markdown/2026/shanghai/试卷.md,2
2026,shanghai_spring,2026年上海卷（春）,content/2026/shanghai_spring.tex,01_上海试卷_Markdown/2026/shanghai_spring/试卷.md,10
